USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MO	29081950100	977057985	4846166	     377.244	       1.871	 40.3539466	 -93.8877330                                                                                                                     
MO	29081950200	876103574	4976163	     338.265	       1.921	 40.3521429	 -94.1146768                                                                                                                     
MO	29081950300	18115270	281442	       6.994	       0.109	 40.2703547	 -94.0262133                                                                                                                       
MO	29083950100	18152803	207179	       7.009	       0.080	 38.5362034	 -93.5343975                                                                                                                       
MO	29083950200	567416926	28573989	     219.081	      11.032	 38.4084846	 -93.6379853                                                                                                                    
MO	29083950300	580464789	10766562	     224.119	       4.157	 38.4735047	 -93.9011620                                                                                                                    
MO	29083950400	597815221	44922995	     230.818	      17.345	 38.2728542	 -93.8606117                                                                                                                    
MO	29083950500	18214345	2847794	       7.033	       1.100	 38.3724377	 -93.7834932                                                                                                                      
MO	29083950600	23011746	4317921	       8.885	       1.667	 38.3654721	 -93.7558506                                                                                                                      
MO	29085470100	598645740	3638000	     231.138	       1.405	 37.9882344	 -93.2789373                                                                                                                     
MO	29085470300	110837728	7480034	      42.795	       2.888	 37.9248161	 -93.3133052                                                                                                                     
MO	29085470500	324202384	21559643	     125.175	       8.324	 37.8607081	 -93.4026713                                                                                                                    
MO	29087960100	578766239	4205696	     223.463	       1.624	 40.1759607	 -95.2496828                                                                                                                     
MO	29087960200	206733646	8888202	      79.820	       3.432	 40.1089849	 -95.2626247                                                                                                                     
MO	29087960300	412869714	6745158	     159.410	       2.604	 39.9730230	 -95.1479702                                                                                                                     
MO	29089960100	475359107	3962108	     183.537	       1.530	 39.2367021	 -92.6705282                                                                                                                     
MO	29089960200	540004381	13100357	     208.497	       5.058	 39.0616026	 -92.7104306                                                                                                                    
MO	29089960300	185829189	2830535	      71.749	       1.093	 39.1470035	 -92.6863429                                                                                                                     
MO	29091090100	350719365	544252	     135.414	       0.210	 36.9741817	 -91.9759621                                                                                                                      
MO	29091090200	120685829	83643	      46.597	       0.032	 37.0128676	 -91.7299530                                                                                                                       
MO	29091090300	544095618	259298	     210.077	       0.100	 36.8810731	 -91.8158410                                                                                                                      
MO	29091090400	568776820	403775	     219.606	       0.156	 36.6757649	 -92.0449211                                                                                                                      
MO	29091090500	174539363	732358	      67.390	       0.283	 36.7015031	 -91.8960440                                                                                                                      
MO	29091090600	600234424	837063	     231.752	       0.323	 36.6250468	 -91.7876250                                                                                                                      
MO	29091090700	18421845	49811	       7.113	       0.019	 36.7364775	 -91.8559200                                                                                                                        
MO	29091090800	24089262	3302	       9.301	       0.001	 36.7452479	 -91.8929188                                                                                                                         
MO	29093950100	639555516	1806320	     246.934	       0.697	 37.6793250	 -90.9063608                                                                                                                     
MO	29093950200	230743182	1170543	      89.090	       0.452	 37.5745453	 -90.6600964                                                                                                                     
MO	29093950300	59881720	177317	      23.120	       0.068	 37.6234344	 -90.6093931                                                                                                                       
MO	29093950400	494995702	1509983	     191.119	       0.583	 37.3817304	 -90.6519470                                                                                                                     
MO	29095000300	1447781	253076	       0.559	       0.098	 39.1138332	 -94.5732850                                                                                                                        
MO	29095000600	1333072	0	       0.515	       0.000	 39.1128996	 -94.5139233                                                                                                                             
MO	29095000700	1314366	0	       0.507	       0.000	 39.1127296	 -94.5233086                                                                                                                             
MO	29095000800	1226170	0	       0.473	       0.000	 39.1126620	 -94.5324471                                                                                                                             
MO	29095000900	1403882	0	       0.542	       0.000	 39.1127311	 -94.5423930                                                                                                                             
MO	29095001000	1562133	0	       0.603	       0.000	 39.1116526	 -94.5557347                                                                                                                             
MO	29095001100	648136	0	       0.250	       0.000	 39.1010526	 -94.5916122                                                                                                                              
MO	29095001800	991531	0	       0.383	       0.000	 39.1023472	 -94.5443124                                                                                                                              
MO	29095001900	1733458	0	       0.669	       0.000	 39.1017943	 -94.5253223                                                                                                                             
MO	29095002000	1812538	67868	       0.700	       0.026	 39.0988433	 -94.4997833                                                                                                                         
MO	29095002100	3664945	59356	       1.415	       0.023	 39.0918318	 -94.5023035                                                                                                                         
MO	29095002200	1751781	0	       0.676	       0.000	 39.0907451	 -94.5212251                                                                                                                             
MO	29095002300	1461550	0	       0.564	       0.000	 39.0907091	 -94.5327133                                                                                                                             
MO	29095003400	1280229	0	       0.494	       0.000	 39.0798107	 -94.5247053                                                                                                                             
MO	29095003700	664559	0	       0.257	       0.000	 39.0806721	 -94.5476941                                                                                                                              
MO	29095003800	639167	0	       0.247	       0.000	 39.0733197	 -94.5480583                                                                                                                              
MO	29095004300	1216279	0	       0.470	       0.000	 39.0777829	 -94.5753798                                                                                                                             
MO	29095004400	1741923	4803	       0.673	       0.002	 39.0804140	 -94.5863780                                                                                                                          
MO	29095004600	1713772	0	       0.662	       0.000	 39.0644718	 -94.6011484                                                                                                                             
MO	29095005100	725907	0	       0.280	       0.000	 39.0590236	 -94.5789709                                                                                                                              
MO	29095005200	645237	0	       0.249	       0.000	 39.0667159	 -94.5669027                                                                                                                              
MO	29095005300	640113	0	       0.247	       0.000	 39.0595061	 -94.5672804                                                                                                                              
MO	29095005400	645714	0	       0.249	       0.000	 39.0664004	 -94.5576496                                                                                                                              
MO	29095005500	640282	0	       0.247	       0.000	 39.0591841	 -94.5580232                                                                                                                              
MO	29095005601	640683	0	       0.247	       0.000	 39.0660983	 -94.5484184                                                                                                                              
MO	29095005602	637723	0	       0.246	       0.000	 39.0588825	 -94.5487876                                                                                                                              
MO	29095005700	1278751	0	       0.494	       0.000	 39.0621834	 -94.5393995                                                                                                                             
MO	29095005801	2447935	0	       0.945	       0.000	 39.0617231	 -94.5256235                                                                                                                             
MO	29095006000	1108546	0	       0.428	       0.000	 39.0486096	 -94.5403902                                                                                                                             
MO	29095006100	1338421	0	       0.517	       0.000	 39.0477342	 -94.5491507                                                                                                                             
MO	29095006300	1395103	0	       0.539	       0.000	 39.0446490	 -94.5631996                                                                                                                             
MO	29095006500	485391	0	       0.187	       0.000	 39.0527160	 -94.5758425                                                                                                                              
MO	29095006600	969927	0	       0.374	       0.000	 39.0455021	 -94.5797228                                                                                                                              
MO	29095006700	487808	0	       0.188	       0.000	 39.0527105	 -94.5828122                                                                                                                              
MO	29095006900	493805	0	       0.191	       0.000	 39.0464618	 -94.5909276                                                                                                                              
MO	29095007100	777920	0	       0.300	       0.000	 39.0465286	 -94.6017861                                                                                                                              
MO	29095007200	1936047	0	       0.748	       0.000	 39.0347584	 -94.6002017                                                                                                                             
MO	29095007300	703387	0	       0.272	       0.000	 39.0411671	 -94.5913496                                                                                                                              
MO	29095007400	2279813	0	       0.880	       0.000	 39.0339763	 -94.5820520                                                                                                                             
MO	29095007500	1268225	0	       0.490	       0.000	 39.0341069	 -94.5687595                                                                                                                             
MO	29095007600	1228827	0	       0.474	       0.000	 39.0335533	 -94.5595394                                                                                                                             
MO	29095007700	1645128	0	       0.635	       0.000	 39.0332517	 -94.5487957                                                                                                                             
MO	29095007802	3254910	0	       1.257	       0.000	 39.0245032	 -94.5321749                                                                                                                             
MO	29095007900	2532133	0	       0.978	       0.000	 39.0191150	 -94.5463831                                                                                                                             
MO	29095008000	1470089	0	       0.568	       0.000	 39.0192066	 -94.5612997                                                                                                                             
MO	29095008100	1021901	0	       0.395	       0.000	 39.0208691	 -94.5701379                                                                                                                             
MO	29095008200	1239886	0	       0.479	       0.000	 39.0204060	 -94.5788102                                                                                                                             
MO	29095008300	1240594	0	       0.479	       0.000	 39.0207567	 -94.5881098                                                                                                                             
MO	29095008400	1953896	0	       0.754	       0.000	 39.0213180	 -94.6001887                                                                                                                             
MO	29095008500	2016805	0	       0.779	       0.000	 39.0072329	 -94.6006101                                                                                                                             
MO	29095008600	2568449	0	       0.992	       0.000	 39.0064440	 -94.5841665                                                                                                                             
MO	29095008700	2566918	0	       0.991	       0.000	 39.0056425	 -94.5657391                                                                                                                             
MO	29095008800	2537865	0	       0.980	       0.000	 39.0040376	 -94.5468192                                                                                                                             
MO	29095008900	2214269	0	       0.855	       0.000	 38.9932268	 -94.5452357                                                                                                                             
