USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
IL	17031650301	985558	0	       0.381	       0.000	 41.7749275	 -87.7299916                                                                                                                              
IL	17031650302	661844	0	       0.256	       0.000	 41.7750953	 -87.7177493                                                                                                                              
IL	17031650400	1098626	0	       0.424	       0.000	 41.7653247	 -87.7171803                                                                                                                             
IL	17031650500	3236578	0	       1.250	       0.000	 41.7622451	 -87.7320421                                                                                                                             
IL	17031660301	163782	0	       0.063	       0.000	 41.7799541	 -87.6982872                                                                                                                              
IL	17031660302	491837	0	       0.190	       0.000	 41.7835957	 -87.6983926                                                                                                                              
IL	17031660400	645647	0	       0.249	       0.000	 41.7825321	 -87.7080441                                                                                                                              
IL	17031660500	659363	0	       0.255	       0.000	 41.7752434	 -87.7079432                                                                                                                              
IL	17031660600	658608	0	       0.254	       0.000	 41.7772873	 -87.6933406                                                                                                                              
IL	17031660700	480681	0	       0.186	       0.000	 41.7738452	 -87.6810955                                                                                                                              
IL	17031660800	655390	0	       0.253	       0.000	 41.7736413	 -87.6932656                                                                                                                              
IL	17031660900	1811423	161565	       0.699	       0.062	 41.7678191	 -87.6990630                                                                                                                        
IL	17031661000	1118650	0	       0.432	       0.000	 41.7618185	 -87.6850447                                                                                                                             
IL	17031661100	1299749	0	       0.502	       0.000	 41.7607874	 -87.7026881                                                                                                                             
IL	17031670100	326892	0	       0.126	       0.000	 41.7904937	 -87.6572084                                                                                                                              
IL	17031670200	326543	0	       0.126	       0.000	 41.7904247	 -87.6620627                                                                                                                              
IL	17031670300	326330	0	       0.126	       0.000	 41.7903576	 -87.6669167                                                                                                                              
IL	17031670400	326419	0	       0.126	       0.000	 41.7902996	 -87.6717698                                                                                                                              
IL	17031670500	622492	0	       0.240	       0.000	 41.7865780	 -87.6764044                                                                                                                              
IL	17031670600	327032	0	       0.126	       0.000	 41.7830054	 -87.6715772                                                                                                                              
IL	17031670700	326730	0	       0.126	       0.000	 41.7830686	 -87.6667315                                                                                                                              
IL	17031670800	326299	0	       0.126	       0.000	 41.7831442	 -87.6618790                                                                                                                              
IL	17031670900	326290	0	       0.126	       0.000	 41.7832124	 -87.6570220                                                                                                                              
IL	17031671100	245617	0	       0.095	       0.000	 41.7767815	 -87.6617118                                                                                                                              
IL	17031671200	244922	0	       0.095	       0.000	 41.7766993	 -87.6665823                                                                                                                              
IL	17031671300	484665	0	       0.187	       0.000	 41.7739015	 -87.6713493                                                                                                                              
IL	17031671400	495627	0	       0.191	       0.000	 41.7737921	 -87.6762289                                                                                                                              
IL	17031671500	741162	0	       0.286	       0.000	 41.7681721	 -87.6696322                                                                                                                              
IL	17031671600	407247	0	       0.157	       0.000	 41.7694998	 -87.6615118                                                                                                                              
IL	17031671800	324234	0	       0.125	       0.000	 41.7614010	 -87.6564481                                                                                                                              
IL	17031671900	322062	0	       0.124	       0.000	 41.7613256	 -87.6612802                                                                                                                              
IL	17031672000	995026	0	       0.384	       0.000	 41.7611986	 -87.6711285                                                                                                                              
IL	17031680500	326856	0	       0.126	       0.000	 41.7905639	 -87.6523524                                                                                                                              
IL	17031680600	326466	0	       0.126	       0.000	 41.7832811	 -87.6521652                                                                                                                              
IL	17031680900	1033026	0	       0.399	       0.000	 41.7764282	 -87.6376321                                                                                                                             
IL	17031681000	651694	0	       0.252	       0.000	 41.7760394	 -87.6495526                                                                                                                              
IL	17031681100	652440	0	       0.252	       0.000	 41.7687665	 -87.6493596                                                                                                                              
IL	17031681200	794732	0	       0.307	       0.000	 41.7691893	 -87.6384976                                                                                                                              
IL	17031681300	721329	0	       0.279	       0.000	 41.7611733	 -87.6398622                                                                                                                              
IL	17031681400	643432	0	       0.248	       0.000	 41.7615308	 -87.6491926                                                                                                                              
IL	17031690300	512065	0	       0.198	       0.000	 41.7686690	 -87.6290141                                                                                                                              
IL	17031690400	651690	0	       0.252	       0.000	 41.7692587	 -87.6202084                                                                                                                              
IL	17031690500	323160	0	       0.125	       0.000	 41.7681794	 -87.6121031                                                                                                                              
IL	17031690900	655464	0	       0.253	       0.000	 41.7621424	 -87.6103448                                                                                                                              
IL	17031691000	648681	0	       0.250	       0.000	 41.7619654	 -87.6200151                                                                                                                              
IL	17031691100	675737	0	       0.261	       0.000	 41.7617135	 -87.6298721                                                                                                                              
IL	17031691200	1002997	10733	       0.387	       0.004	 41.7526208	 -87.6304113                                                                                                                         
IL	17031691300	647447	0	       0.250	       0.000	 41.7546811	 -87.6198472                                                                                                                              
IL	17031691400	656684	0	       0.254	       0.000	 41.7548455	 -87.6101685                                                                                                                              
IL	17031691500	674533	0	       0.260	       0.000	 41.7550528	 -87.6002665                                                                                                                              
IL	17031700100	2311843	0	       0.893	       0.000	 41.7535935	 -87.6953091                                                                                                                             
IL	17031700200	1623605	0	       0.627	       0.000	 41.7529910	 -87.7238188                                                                                                                             
IL	17031700301	1275707	0	       0.493	       0.000	 41.7456225	 -87.7317117                                                                                                                             
IL	17031700302	1319649	0	       0.510	       0.000	 41.7383652	 -87.7313064                                                                                                                             
IL	17031700401	1482531	0	       0.572	       0.000	 41.7455372	 -87.7120355                                                                                                                             
IL	17031700402	1148942	0	       0.444	       0.000	 41.7382302	 -87.7118234                                                                                                                             
IL	17031700501	1670354	0	       0.645	       0.000	 41.7462133	 -87.6903422                                                                                                                             
IL	17031700502	1722970	0	       0.665	       0.000	 41.7388522	 -87.6887683                                                                                                                             
IL	17031710100	215116	0	       0.083	       0.000	 41.7533918	 -87.6419713                                                                                                                              
IL	17031710200	741529	0	       0.286	       0.000	 41.7551122	 -87.6514277                                                                                                                              
IL	17031710300	327582	0	       0.126	       0.000	 41.7540485	 -87.6611057                                                                                                                              
IL	17031710400	1002525	0	       0.387	       0.000	 41.7539186	 -87.6709324                                                                                                                             
IL	17031710500	748392	0	       0.289	       0.000	 41.7475316	 -87.6707873                                                                                                                              
IL	17031710600	244933	0	       0.095	       0.000	 41.7476600	 -87.6609434                                                                                                                              
IL	17031710700	490083	0	       0.189	       0.000	 41.7471100	 -87.6568840                                                                                                                              
IL	17031710800	816273	0	       0.315	       0.000	 41.7478366	 -87.6488126                                                                                                                              
IL	17031710900	990855	0	       0.383	       0.000	 41.7421467	 -87.6396899                                                                                                                              
IL	17031711000	654358	0	       0.253	       0.000	 41.7396436	 -87.6485811                                                                                                                              
IL	17031711100	653926	0	       0.252	       0.000	 41.7395016	 -87.6583002                                                                                                                              
IL	17031711200	1102231	0	       0.426	       0.000	 41.7405561	 -87.6698252                                                                                                                             
IL	17031711300	350020	0	       0.135	       0.000	 41.7335044	 -87.6672855                                                                                                                              
IL	17031711400	747484	0	       0.289	       0.000	 41.7336572	 -87.6521235                                                                                                                              
IL	17031711500	649388	0	       0.251	       0.000	 41.7324407	 -87.6386881                                                                                                                              
IL	17031720100	1965424	0	       0.759	       0.000	 41.7276161	 -87.6747360                                                                                                                             
