USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06001406602	414724	0	       0.160	       0.000	 37.7964782	-122.2143072                                                                                                                              
CA	06001406700	1683727	0	       0.650	       0.000	 37.8033164	-122.2022249                                                                                                                             
CA	06001406800	912527	0	       0.352	       0.000	 37.7978944	-122.1949575                                                                                                                              
CA	06001406900	873127	0	       0.337	       0.000	 37.7932754	-122.1903789                                                                                                                              
CA	06001407000	862936	0	       0.333	       0.000	 37.7879458	-122.2024901                                                                                                                              
CA	06001407101	370838	0	       0.143	       0.000	 37.7831287	-122.2143966                                                                                                                              
CA	06001407102	660863	0	       0.255	       0.000	 37.7807761	-122.2102385                                                                                                                              
CA	06001407200	715069	0	       0.276	       0.000	 37.7777848	-122.2192819                                                                                                                              
CA	06001407300	2370919	209263	       0.915	       0.081	 37.7621786	-122.2109235                                                                                                                        
CA	06001407400	511491	0	       0.197	       0.000	 37.7710407	-122.2067479                                                                                                                              
CA	06001407500	494510	0	       0.191	       0.000	 37.7695150	-122.1976091                                                                                                                              
CA	06001407600	1022712	0	       0.395	       0.000	 37.7775293	-122.2031992                                                                                                                             
CA	06001407700	918667	0	       0.355	       0.000	 37.7765228	-122.1931965                                                                                                                              
CA	06001407800	1234702	0	       0.477	       0.000	 37.7817416	-122.1866597                                                                                                                             
CA	06001407900	1099095	0	       0.424	       0.000	 37.7884273	-122.1847831                                                                                                                             
CA	06001408000	1955680	0	       0.755	       0.000	 37.8029607	-122.1828709                                                                                                                             
CA	06001408100	8935568	0	       3.450	       0.000	 37.7853987	-122.1572109                                                                                                                             
CA	06001408200	901765	0	       0.348	       0.000	 37.7751005	-122.1755728                                                                                                                              
CA	06001408300	1521683	0	       0.588	       0.000	 37.7710979	-122.1645165                                                                                                                             
CA	06001408400	542658	0	       0.210	       0.000	 37.7646056	-122.1709595                                                                                                                              
CA	06001408500	831360	0	       0.321	       0.000	 37.7604176	-122.1785112                                                                                                                              
CA	06001408600	1061441	0	       0.410	       0.000	 37.7661975	-122.1823030                                                                                                                             
CA	06001408700	1130613	0	       0.437	       0.000	 37.7688608	-122.1889459                                                                                                                             
CA	06001408800	1204352	0	       0.465	       0.000	 37.7588039	-122.1969422                                                                                                                             
CA	06001408900	802406	0	       0.310	       0.000	 37.7541816	-122.1887803                                                                                                                              
CA	06001409000	16927879	4382424	       6.536	       1.692	 37.7296943	-122.2161623                                                                                                                      
CA	06001409100	490550	0	       0.189	       0.000	 37.7323419	-122.1834828                                                                                                                              
CA	06001409200	716800	0	       0.277	       0.000	 37.7290830	-122.1778389                                                                                                                              
CA	06001409300	1078561	0	       0.416	       0.000	 37.7378456	-122.1733452                                                                                                                             
CA	06001409400	1253614	0	       0.484	       0.000	 37.7446130	-122.1803623                                                                                                                             
CA	06001409500	836612	0	       0.323	       0.000	 37.7504463	-122.1837659                                                                                                                              
CA	06001409600	747479	0	       0.289	       0.000	 37.7532669	-122.1726197                                                                                                                              
CA	06001409700	811306	0	       0.313	       0.000	 37.7564187	-122.1658929                                                                                                                              
CA	06001409800	1790009	0	       0.691	       0.000	 37.7603609	-122.1557636                                                                                                                             
CA	06001409900	4332536	0	       1.673	       0.000	 37.7619727	-122.1358250                                                                                                                             
CA	06001410000	6562024	145283	       2.534	       0.056	 37.7447566	-122.1332163                                                                                                                        
CA	06001410100	784678	0	       0.303	       0.000	 37.7478642	-122.1535285                                                                                                                              
CA	06001410200	585845	0	       0.226	       0.000	 37.7453063	-122.1571742                                                                                                                              
CA	06001410300	578329	0	       0.223	       0.000	 37.7466798	-122.1661407                                                                                                                              
CA	06001410400	706610	0	       0.273	       0.000	 37.7408161	-122.1621741                                                                                                                              
CA	06001410500	724476	0	       0.280	       0.000	 37.8100159	-122.2889571                                                                                                                              
CA	06001420100	552476	0	       0.213	       0.000	 37.8947731	-122.2910214                                                                                                                              
CA	06001420200	463184	0	       0.179	       0.000	 37.8944657	-122.2974678                                                                                                                              
CA	06001420300	1302786	1111343	       0.503	       0.429	 37.8906499	-122.3181164                                                                                                                       
CA	06001420400	1107215	1632801	       0.427	       0.630	 37.8862111	-122.3141637                                                                                                                       
CA	06001420500	416291	0	       0.161	       0.000	 37.8867059	-122.2950048                                                                                                                              
CA	06001420600	789430	0	       0.305	       0.000	 37.8870336	-122.2870621                                                                                                                              
CA	06001421100	745507	0	       0.288	       0.000	 37.8994340	-122.2661928                                                                                                                              
CA	06001421200	1354146	1509	       0.523	       0.001	 37.8975481	-122.2752271                                                                                                                          
CA	06001421300	1106644	0	       0.427	       0.000	 37.8911093	-122.2813663                                                                                                                             
CA	06001421400	474780	0	       0.183	       0.000	 37.8883409	-122.2709220                                                                                                                              
CA	06001421500	1590670	3635	       0.614	       0.001	 37.8918465	-122.2591618                                                                                                                          
CA	06001421600	1333491	0	       0.515	       0.000	 37.8839396	-122.2559781                                                                                                                             
CA	06001421700	573822	0	       0.222	       0.000	 37.8819398	-122.2701842                                                                                                                              
CA	06001421800	528477	0	       0.204	       0.000	 37.8802854	-122.2782006                                                                                                                              
CA	06001421900	855115	0	       0.330	       0.000	 37.8794875	-122.2896350                                                                                                                              
CA	06001422000	4498259	5864363	       1.737	       2.264	 37.8578054	-122.3012478                                                                                                                       
CA	06001422100	551943	0	       0.213	       0.000	 37.8733067	-122.2965336                                                                                                                              
CA	06001422200	675011	0	       0.261	       0.000	 37.8728828	-122.2878171                                                                                                                              
CA	06001422300	560047	0	       0.216	       0.000	 37.8740722	-122.2779152                                                                                                                              
CA	06001422400	475570	0	       0.184	       0.000	 37.8752396	-122.2695878                                                                                                                              
CA	06001422500	460335	0	       0.178	       0.000	 37.8773130	-122.2603183                                                                                                                              
CA	06001422600	1699288	0	       0.656	       0.000	 37.8737724	-122.2546270                                                                                                                             
